DELI-ROCK ACRES,,LAPLANTS LAWN & PROPERTY MTCE,,"7482 OLD LYONS RD, LYONS, NY 14489"
COUNTRYSIDE NURSERY,,TROMBLEES GREENHOUSE + GIFTS,518-586-4511,"2961 NYS ROUTE 9N, CROWN POINT, NY 12928"
CASLER FLOWER FARM & GREENHOUSES LLC,,DELI-ROCK ACRES,716-498-1973,"11201 MARBLE SPRINGS ROAD, DELEVAN, NY 14042"
COYOTE HILL FARM,CORY@coyotehillfarmllc.com,COUNTRYSIDE NURSERY,607-243-3895,"6100 ROUTE 14A, ROCK STREAM, NY 14878"
LAPLANTS LAWN & PROPERTY MTCE,,R. M. PUTNEY & ASSOCIATES INC. DBA IMPACT EARTH,,"2257 COUNTY RD 4, STANLEY, NY 14561"
JUDSONS FARM MARKET,info@iloveny.com,JUDSONS FARM MARKET,845-832-6286,"3255 PLEASANT RIDGE ROAD, WINGDALE, NY 12594"
HELLERS FARM,info@hellersfarm.com,STEVES GREENHOUSE LLC,607-746-6006,"37784 STATE HIGHWAY 10, HAMDEN, NY 13782"
R. M. PUTNEY & ASSOCIATES INC. DBA IMPACT EARTH,,GRASSE RIVER HEMP,315-212-6002,"6900 CR 27, CANTON, NY 13617"
FRESH MEADOW FARM,sam@freshmeadowfarm.com,OUR LITTLE GREWVE FARMS,,"2202 COUNTY RT 21, HERMON, NY 13652"
STEVES GREENHOUSE LLC,,AUGUSTINE BROS CORP,845-338-4931,"23 CORA TERRACE, KINGSTON, NY 12401"
FOREVERGREEN FARMSRUS INC,scott@forevergreensrus.com,KURTZ GREENHOUSE,,"2382 NEWCOMB ROAD, ADDISON, NY 14801"
HILLSIDE GARDENS,,FOREVERGREEN FARMSRUS INC,607-228-3500,"397 E MAINE RD, JOHNSON CITY, NY 13790"
OUR LITTLE GREWVE FARMS,circulation@wdt.net,HIDDEN SPRINGS TREE FARM LLC,607-525-6456,"201 CADY ROAD, TROUPSBURG, NY 14885"
OUR LITTLE GREWVE FARMS,GAGLIARDImgagliardi@wdt.net,WILD THINGS RESCUE NURSERY,518-4419823,"209 BRUNDIGE ROAD, VALLEY FALLS, NY 12185"
NATURE MAIDEN PLANTS,,VAN HOUTEN FARMS LLC,845-735-4689,"68 SICKLETOWN ROAD, ORANGEBURG, NY 10962"
PINE VIEW GREENHOUSE,,REXCROFT FARM,518-821-8709,"389 LEEDS-ATHENS ROAD, ATHENS, NY 12015"
GRASSE RIVER HEMP,mail@potsdamcoop.com,PINE VIEW GREENHOUSE,315-858-2089,"263 DUGAN ROAD, RICHFIELD SPINGS, NY 13439"
HILL TOP GREENHOUSE,,HILL TOP GREENHOUSE,,"371 ANDERSON ROAD, SPRAKERS, NY 12166"
AUGUSTINE BROS CORP,John.Smith@augustinenursery.com,ALFREDO LDC,914-666-3950,"620 ARMONK ROAD, MT KISCO, NY 10549"
AUGUSTINE BROS CORP,JohnSmith@augustinenursery.com,ENGELKE FARMS AND GARDEN,518-4784939,"463 GARFIELD ROAD, TROY, NY 12180"
AUGUSTINE BROS CORP,John.Smith@augustinenursery.com.How,WHISKEY HOLLOW STATION,315-530-8671,"7496 KINGDOM ROAD, BALDWINSVILLE, NY 13027"
REXCROFT FARM,fdhp@hammarskjoldplaza.org,NORTH SHORE NATIVES,315-675-9892,"351 COOK ROAD, BERNHARDS BAY, NY 13028"
ROBERT BLUNT,,GAKWIYO GARDENS,,"3203 E BAYARD ST, SENECA FALLS, NY 13148"
GAKWIYO GARDENS,lauren.maltese@gocayuga.com,ROBERT BLUNT,315-841-4804,"2705 STATE ROUTE 315, DEANSBORO, NY 13328"
WHISKEY HOLLOW STATION,,HIGH BID FARM,585-637-0656,"550 BEADLE RD, BROCKPORT, NY 14420"
ALFREDO LDC,info@alfredoldc.com,SAMASCOTT ORCHARDS LLC,518-758-9292,"65 CHATHAM STREET, KINDERHOOK, NY 12106"
KURTZ GREENHOUSE,frontdesk@greatamericanpublish.com,COLWELLS FRM MKT&GDNCTR,315-376-7402,"6007 STATE ROUTE 12, GLENFIELD, NY 13343"
COLWELLS FRM MKT&GDNCTR,,LAXTONS FLORIST&NURSERY,315-685-6427,"2354 WEST LAKE ROAD, SKANEATELES, NY 13152"
NORTH SHORE NATIVES,info@thegardenschool.org,BROADVIEW GARDENS EH INC,631-537-0051,"85 WAINSCOTT MAIN ST, WAINSCOTT, NY 11975"
VAN HOUTEN FARMS LLC,,NORMANDIE FARM,585-493-5614,"5998 SCHOOL ROAD, CASTILE, NY 14427"
NORMANDIE FARM,publisher@storereporter.com,A & J FARM & GREENHOUSE,716-741-2025,"8600 COUNTY ROAD, EAST AMHERST, NY 14051"
BROADVIEW GARDENS EH INC,,CORALS CORNER AND CONES,518-337-6643,"454 COUNTY ROUTE 60, CAMBRIDGE, NY 12816"
LAXTONS FLORIST&NURSERY,,MILL POND EVGRN NUR,315-532-2665," ONIONVILLE ROAD, MARTVILLE, NY 13111"
SAMASCOTT ORCHARDS LLC,,LESTER W. HOOVER,585-554-6962,"4090 VOORHEES ROAD, MIDDLESEX, NY 14507"
CORALS CORNER AND CONES,cambridgechamber@gmail.com,SQUARE ROOTS URBAN GROWERS INC,740-837-6687,"630 FLUSHING AVENUE, BROOKLYN, NY 11206"
OLD ORCHARD GREENHOUSE & NURSERY,,JAMESPORT GREENHOUSES,631-722-4927,"172 HERRICKS LANE, JAMESPORT, NY 11947"
DRIFTWOOD FARMS LLC,,NORMAN HOLTZ,607-843-9848,"28 STATE STREET, OXFORD, NY 13830"
MAJOR BLOSSOM FARM INC,,OLD ORCHARD GREENHOUSE & NURSERY,716-713-3429,"494 COMMERCIAL STREET, FARNHAM, NY 14061"
DICKMAN FARMS LLC,,DRIFTWOOD FARMS LLC,631-204-0001,"35675 MAIN ROAD, ORIENT, NY 11957"
NORMAN HOLTZ,tjjminnick934@gmail.com,MAJOR BLOSSOM FARM INC,917-250-0626,"5098 RT 17M, NEW HAMPTON, NY 10958"
VICTOR CHRISTMAS TREE FARM,NYAARP@aarp.org,DICKMAN FARMS LLC,315-253-3030,"13 ARCHIE STREET, AUBURN, NY 13021"
SQUARE ROOTS URBAN GROWERS INC,dbhqxmofljcqrrlaey@embbgnhscmeeoos.tnv,VICTOR CHRISTMAS TREE FARM,585-924-2079,"1619 MURRAY ROAD, VICTOR, NY 14564"
MILL POND EVGRN NUR,,THE ENGLISH GARDENER LTD,716-833-8000,"1400 KENSINGTON AVENUE, BUFFALO, NY 14215"
A & J FARM & GREENHOUSE,,CEMETERY FLORAL COMPANY,914-769-2186,"11 W STEVENS AVE, HAWTHORNE, NY 10532"
CEMETERY FLORAL COMPANY,info@cemeteryfloral.com,SUJECKI FARMS & NURSERIES,631-793-8741,"3000 MIDDLE COUNTRY ROAD, CALVERTON, NY 11933"
SUJECKI FARMS & NURSERIES,,CROSS CREEK NURSERY INC,315-682-1118,"8415 CAZENOVIA ROAD, MANLIUS, NY 13104"
JAMESPORT GREENHOUSES,,ZIMMERMAN FLOYD,585-554-4295,"4175 ROUTE 247, CANANDAIGUA, NY 14424"
HAWK DANCE FARM,hawkdancefarm@yahoo.com,NATURAL IMAGES NURSERY,631-734-5976,"34800 NORTH ROAD, PECONIC, NY 11958"
GARFIELD ROAD GREENHOUSE,kaw249@cornell.edu,COASTAL GREENHOUSES LLC,631-727-1980,"1675 EDWARDS AVENUE, CALVERTON, NY 11933"
GARFIELD ROAD GREENHOUSE,chautauqua@cornell.edu,FIG TREES AND FLOWERS,631-902-2022,"18 FRADELOS STREET, PORT JEFFERSON STA, NY 11776"
GALLETTAS GREENHOUSE,John.Smith@gallettasgreenhouse.com,HAWK DANCE FARM,518-325-1430,"362 RODMAN ROAD, HILLSDALE, NY 12529"
GALLETTAS GREENHOUSE,John@gallettasgreenhouse.com.How,GARFIELD ROAD GREENHOUSE,716-665-6222,"2713 GARFIELD ROAD, JAMESTOWN, NY 14701"
GALLETTAS GREENHOUSE,John@gallettasgreenhouse.com,GALLETTAS GREENHOUSE,315-343-0879,"60 COUNTY ROUTE 20, OSWEGO, NY 13126"
GALLETTAS GREENHOUSE,JSmith@gallettasgreenhouse.com,MITCHELLS ROME PRODUCE,315-337-3984,"6964 SOUTH JAMES STREET, ROME, NY 13440"
CROSS CREEK NURSERY INC,,SAMS BARGAIN CENTER INC,631-878-2889," HEAD OF NECK ROAD, MANORVILLE, NY 11949"
COASTAL GREENHOUSES LLC,,MARTIN PLANT FARM,716-532-2977,"14466 JENNINGS ROAD, COLLINS, NY 14034"
DAVENPORT FARMS,,BIODOME PROJECT,716-489-7668,"207 PINE STREET, JAMESTOWN, NY 14701"
GARYS NURSERY,,ALTAMONT CTRY VALUESINC,518-861-8061,"106 PROSPECT TERRACE, ALTAMONT, NY 12009"
ALTAMONT CTRY VALUESINC,ddymes@nycap.rr.com,GREEN MERCHANT GARDENING AND HYDROPONICS,607-346-2952,"130 WEST MORRIS STREET, BATH, NY 14810"
MITCHELLS ROME PRODUCE,info@sungro.com,DAVENPORT FARMS,845-687-0051,"3411 US  HIGHWAY 209, STONE RIDGE, NY 12484"
MARTIN PLANT FARM,,GARYS NURSERY,401-787-2453,"186 COLEBROOK ROAD, GANSEVOORT, NY 12831"
GREEN MERCHANT GARDENING AND HYDROPONICS,info@CuttingEdgeSolutions.com,LANDSCAPE DETAILS INCORPORATED,631-725-0018,"3885 MIDDLE COUNTRY ROAD, CALVERTON, NY 11933"
GROUNDWORK MARKET GARDEN INC,JSmith@groundworkmg.com.How,NORWHITE SPRUCE FARM LLC,585-309-5638,"5000 COUNTY ROAD 37, HEMLOCK, NY 14466"
GROUNDWORK MARKET GARDEN INC,JohnSmith@groundworkmg.com,GROUNDWORK MARKET GARDEN INC,716-908-7396,"1698 GENESEE ST, BUFFALO, NY 14211"
GROUNDWORK MARKET GARDEN INC,JSmith@groundworkmg.com,PANEKS PICKIN PATCH,585-589-6155,"13420 COUNTY HOUSE ROAD, ALBION, NY 14411"
GROUNDWORK MARKET GARDEN INC,John@groundworkmg.com,LIESE FARM,585-638-8826,"17100 GULF RD, HOLLEY, NY 14470"
LIESE FARM,,NY BOTANICAL GARDEN THE,718-817-8043,"2900 SOUTHERN BLVD, BRONX, NY 10458"
FIG TREES AND FLOWERS,barry@barrysguidedtours.com,GALLEAS TROPICAL GRNHSE,716-586-3017," 2832 CLOVER STREET, PITTSFORD, NY 14534"
SAMS BARGAIN CENTER INC,,WYCKOFF,607-280-1413,"3795 CTY ROAD 139, OVID, NY 14521"
PANEKS PICKIN PATCH,gespanek15@gmail.com,GROWING FAMILY FARMS,585-301-5926,"602 PECK ROAD, SPENCERPORT, NY 14559"
GALLEAS TROPICAL GRNHSE,,THE FARM AT MILLERS CROSSING - SELL,518-851-2331,"170 ROUTE 217, HUDSON, NY 12534"
NY BOTANICAL GARDEN THE,,OLD WESTBURY GDNS INC,516-333-0048,"71 OLD WESTBURY ROAD BOX 430, OLD WESTBURY, NY 11568"
NORWHITE SPRUCE FARM LLC,,RUDY SHETLER,,"1941 STATE ROUTE 26, ORISKANY FALLS, NY 13425"
WYCKOFF,info@stonehouse-nursery.com,SIMMONS FARM,315-767-0240,"10188 ST RT 12, COPENHAGEN, NY 13626"
OLD WESTBURY GDNS INC,,CASSIM FARMS - HATS N THINGS,315-539-2951,"3581 YOST ROAD, WATERLOO, NY 13165"
RUDY SHETLER,,STONEY ACRES FARM,607-622-5469,"7499 STATE ROUTE 415, BATH, NY 14810"
LANDSCAPE DETAILS INCORPORATED,,BAMBI BOYCE,845-496-1909,"255 WOODCOCK MTN RD, SALISBURY MILLS, NY 12577"
BIODOME PROJECT,14702info@chautauquachamber.org,MILLERTON NURSERY & GARDEN SHOP INC,518-789-3771,"5600 ROUTE 22, MILLERTON, NY 12546"
CASSIM FARMS - HATS N THINGS,,GOOSEBERRY FARM,518-235-0632,"48 WETSEL ROAD, TROY, NY 12182"
MILLERTON NURSERY & GARDEN SHOP INC,,RICHARD LIPSKY,315-690-6458,"4784 STATE ROUTE 80, TULLY, NY 13159"
GOOSEBERRY FARM,,PARK LANE DAYLILIES,716-392-1233,"5991 PARK LANE, OLCOTT, NY 14126"
RICHARD LIPSKY,,MIDWAY GARDEN CENTER LLC,716-386-5113,"4876 ROUTE 430, DEWITTVILLE, NY 14728"
PARK LANE DAYLILIES,,SCHICHTELS NURSERY INC,716-592-9383," PETERS ROAD, SPRINGVILLE, NY 14141"
SIMMONS FARM,Youmarket@simmonsfarm.com,ONE NATURE LLC,845-440-1677,"79 FARMSTEAD LANE, WAPPINGERS FALLS, NY 12590"
MIDWAY GARDEN CENTER LLC,mistyridgelandscaping@gmail.com,DISTINGUISHED FARMS LLC,315-254-7132,"4263 ABBEY ROAD, SYRACUSE, NY 13215"
MIDWAY GARDEN CENTER LLC,support@datastical.com,"HODGSON FARMS, LLC",845-629-6762,"3345 RIVER ROAD, DOWNSVILLE, NY 13755"
SCHICHTELS NURSERY INC,,R&R GREENHOUSE,,"386 AUSTIN RIDGE ROAD, NORWOOD, NY 13668"
SCHUYLER FARMS,jerry@schuylerfarms.com,NORTH FORK NATIVE PLANTS INC,631-298-6571,"345 SOUND AVENUE, MATTITUCK, NY 11952"
DISTINGUISHED FARMS LLC,,SCHUYLER FARMS,518-695-5308,"1124 ROUTE 29, SCHUYLERVILLE, NY 12871"
ONE NATURE LLC,12508info@onenaturellc.com,BELLS CHRISTMAS TREES LLC,845-532-1886,"647 METTACAHONTS ROAD, ACCORD, NY 12404"
"HODGSON FARMS, LLC",,SILVERLEAF GRNHSES INC,914-4750141,"2736 STATE ROUTE 208, WALDEN, NY 12586"
BELLS CHRISTMAS TREES LLC,,FUN ACRES HERB FARM,315-794-8072,"209 PARK HILL RD, ERIN, NY 14838"
SILVERLEAF GRNHSES INC,,RIVER RUN TREE FARMS,914-669-9453,"329 JUNCTION RD, HOWES CAVE, NY 12092"
STONEY ACRES FARM,stoneyacrescsa@gmail.com,SCHWEIZER CONRAD DR NRS,718-351-0917,"2051 RICHMOND RD, STATEN ISLAND, NY 10306"
THE FARM AT MILLERS CROSSING - SELL,,SAUDERS GREENHOUSE,585-554-4553,"3986 FERGUSON CORNER RD, RUSHVILLE, NY 14544"
NORTH FORK NATIVE PLANTS INC,,TOWN & COUNTRY ENTERPRISES INC,585-872-5073,"1367 ALLEN ROAD, PENFIELD, NY 14526"
SAUDERS GREENHOUSE,,ACADIAN FARM,518-993-3967,"259 TILLBORO ROAD, ST JOHNSVILLE, NY 13452"
MOELIUS FARMS,,MOELIUS FARMS,631-745-4853,"1928 NYS ROUTE 12, BINGHAMTON, NY 13901"
SARATOGA SOD FARM INC,,SARATOGA SOD FARM INC,518-664-5038,"647 STILLWATER BRIDGE ROAD, SCHAGHTICOKE, NY 12154"
FUN ACRES HERB FARM,,MAHONEY STEPHEN INC,631-324-6574,"162 LONG LANE, EAST HAMPTON, NY 11937"
MAHONEY STEPHEN INC,,MOORE CHRISTMAS TREE FARM,607-533-7394,"575 AUBURN ROAD ROUTE 34, GROTON, NY 13073"
MOORE CHRISTMAS TREE FARM,mooresfarm@yahoo.com,FULLY ROOTED INCORPORATED,716-866-2127,"89 ELM STREET, TONAWANDA, NY 14150"
TOWN & COUNTRY ENTERPRISES INC,info@townandcountryent.com,GOLBEN FARMS,845-651-1954,"142 SOUTH MAIN STREET, FLORIDA, NY 10921"
SCHWEIZER CONRAD DR NRS,,LAKESIDE SOD SPLY CO IN,716-741-2877," LAURIDSEN FARM-MCNEELEY ROAD, CLARENCE CENTER, NY 14032"
SCHICHTELS NURSERY INC,14141info@schichtels.com,SCHICHTELS NURSERY INC,,"9987 RT 39, SPRINGVILLE, NY 14141"
GOLBEN FARMS,,MAPLE RUN FARM,607-535-2132,"4341 RT 14A, ROCK STREAM, NY 14878"
LAKESIDE SOD SPLY CO IN,,WARNER NURSERY LLC,631-727-1336,"2674 SOUND AVENUE, CALVERTON, NY 11933"
WARNER NURSERY LLC,,BRALEY FARM,518-392-1849,"1280 STATE ROUTE 203, CHATHAM, NY 12037"
GAJESKI PRODUCE,info@PeconicLandTrust.org,JC & PC CORP DBA CERES FARM,516-974-8630,"371 SMITH RIDGE ROAD, SOUTH SALEM, NY 10590"
BAYPORT FLOWER HOUSES,christine@bayportflower.com,SKY-HIGH TURF FARM,315-687-6510,"583 PECK ROAD, KIRKVILLE, NY 13082"
BAYPORT FLOWER HOUSES,karl@bayportflower.com,WOODSIDE NURSERY INC,631-758-1491,"134 EAST WOODSIDE AVENUE, PATCHOGUE, NY 11772"
MAPLE RUN FARM,,GAJESKI PRODUCE,516-819-7099,"1997 MAIN RD, LAUREL, NY 11948"
BUD'S FLORIST & GREENHOUSE LLC,,BAYPORT FLOWER HOUSES,631-472-0014,"940 MONTAUK HIGHWAY, BAYPORT, NY 11705"
WOODSIDE NURSERY INC,info@sabosnursery.com,BONNIE PLANTS LLC,334-467-3313,"95 ORVILLE DRIVE, BOHEMIA, NY 11716"
WOODSIDE NURSERY INC,cathee@sabosnursery.com,HOOVER HOWARD,315-536-3192,"2849 SWARTHOUT ROAD, PENN YAN, NY 14527"
BRALEY FARM,,BUD'S FLORIST & GREENHOUSE LLC,518-732-7563,"1614 ROUTE 9, CASTLETON ON HUDSON, NY 12033"
BONNIE PLANTS LLC,info@alafarm.com,CRIMSON VALLEY NURSERY,518-650-5207,"103 FLAT BUSH ROAD, WEST COXSACKIE, NY 12192"
TROYERS GREENHOUSE,,ACOCELLA LANDSCAPINGLTD,914-725-2272,"659 WILMOT ROAD, SCARSDALE, NY 10583"
DANIEL AND MARY KING,,KELLY WHOLESALE NURSERY,315-548-2151," EAGLE STREET, PHELPS, NY 14532"
CRIMSON VALLEY NURSERY,,JUDY'S FALLSBURG GARDEN/I ZAKARIN & SONS INC,845-434-4430,"5296 ROUTE 42, SOUTH FALLSBURG, NY 12779"
HOOVER HOWARD,,DANIEL AND MARY KING,518-568-5972,"220 BUSH ROAD, FORT PLAIN, NY 13339"
VALLEY FARM MARKET,,TROYERS GREENHOUSE,716-782-4887,"1669 WEEKS ROAD, PANAMA, NY 14767"
JUDY'S FALLSBURG GARDEN/I ZAKARIN & SONS INC,,PAPER POTTED PLANTS,631-327-3259,"361 DARE ROAD, SELDEN, NY 11784"
SKY-HIGH TURF FARM,,VALLEY FARM MARKET,585-554-3455,"441 STATE ROUTE 245, RUSHVILLE, NY 14544"
PAPER POTTED PLANTS,,STEVEN DUBNER LANDSCAPING,516-779-3861,"0 WEST SOUTH STREET, MANORVILLE, NY 11949"
SHALEBROOK LANDSCAPING INC.,,USHER FARM,518-359-7473,"102 UNDERWOOD ROAD, TUPPER LAKE, NY 12986"
SHIRK NATHANIEL & ARLENE,,BATAVIA TURF LLC,585-548-2552,"6465 TRANSIT ROAD, ELBA, NY 14058"
ACOCELLA LANDSCAPINGLTD,,WATERTOWN GARDEN CENTER & LANDSCAPE SUPPLY INC,315-921-5253,"17940 US RT 11, WATERTOWN, NY 13601"
WATERTOWN GARDEN CENTER & LANDSCAPE SUPPLY INC,,SHIRK NATHANIEL & ARLENE,607-243-7399,"1864 ROUTE 230, DUNDEE, NY 14837"
BLUE HERON FARM,sales@bhfnursery.com,MENDON ACRES,,"4287 CLOVER STREET, HONEOYE FALLS, NY 14472"
MENDON ACRES,MendonAcres@mendonacres.com,C. CHRIST FARM,585-507-7900,"2241 PETERSMITH ROAD, KENT, NY 14477"
DURGIN FAMILY FARM LLC,,BLUE HERON FARM,607-582-6336,"1641 SHAW ROAD, LODI, NY 14860"
KELLY WHOLESALE NURSERY,,SHALEBROOK LANDSCAPING INC.,607-280-6171,"109 BUNDY RD., ITHACA, NY 14850"
C. CHRIST FARM,,CHATHAM HARDWARE INC,518-392-3441,"1 HOFFMAN ST, CHATHAM, NY 12037"
FOREVERGREEN FARMSRUS INC,scott@forevergreensrus.com,TRI VALLEY CENTRAL SCHOOL,845-985-2296,"34 MOORE HILL ROAD, GRAHAMSVILLE, NY 12740"
STEVEN DUBNER LANDSCAPING,,DURGIN FAMILY FARM LLC,585-359-0951,"1175 MARTIN ROAD, WEST HENRIETTA, NY 14586"
CHANGING SEASONS,,FOREVERGREEN FARMSRUS INC,607-227-3500,"368 TIONA RD, NEWARK VALLEY, NY 13811"
TRI VALLEY CENTRAL SCHOOL,JamesFantini@TriValleyCSD.org,CHANGING SEASONS,607-293-6184,"3762 STATE HIGHWAY 205N, HARTWICK, NY 13348"
TRI VALLEY CENTRAL SCHOOL,JenniferWilliams@TriValleyCSD.org,COLONIAL ACRES NURSERY,518-456-5348,"2552 WESTERN AVENUE, ALTAMONT, NY 12009"
TRI VALLEY CENTRAL SCHOOL,RichBebenroth@TriValleyCSD.org,LANS FLOWER FARM INC,315-688-8584,"4913 NYS ROUTE 31, CLAY, NY 13041"
TRI VALLEY CENTRAL SCHOOL,AaronButler@TriValleyCSD.org,SWEET HARVEST FARMS,518-596-8697,"911 BEADLE HILL ROAD, VALLEY FALLS, NY 12185"
TRI VALLEY CENTRAL SCHOOL,FrankSnyder@TriValleyCSD.org,NORTH WINDS LAVENDER FARM,845-216-8722,"253 BUNDY HILL ROAD, HOLMES, NY 12531"
TRI VALLEY CENTRAL SCHOOL,RobertWhitaker@TriValleyCSD.org,FLOWER HILL FARM,315-525-1559,"11785 STATE ROUTE 12, BOONVILLE, NY 13309"
TRI VALLEY CENTRAL SCHOOL,ssbusnotes@trivalleycsd.org,PAINTED DAISY THE,607-773-4838,"1 GEE STREET, BINGHAMTON, NY 13903"
TRI VALLEY CENTRAL SCHOOL,AmandaEberly@TriValleyCSD.org,SAF NY REALTY CO LLC,518-658-2729,"16 SATTERLEE HOLLOW ROAD, BERLIN, NY 12022"
TRI VALLEY CENTRAL SCHOOL,esbusnotes@trivalleycsd.org,ADK GROWERS LLC,315-328-4482,"304 WILSON ROAD, SAINT REGIS FALLS, NY 12980"
TRI VALLEY CENTRAL SCHOOL,DanielleCornish@TriValleyCSD.org,NATURAL LANDWORKS,716-537-2927,"12022 HUMPHRIES ROAD, HOLLAND, NY 14080"
TRI VALLEY CENTRAL SCHOOL,attendance@trivalleycsd.org,STANFARM,585-313-3070,"824 JENKINS ROAD, CHURCHVILLE, NY 14428"
TRI VALLEY CENTRAL SCHOOL,ErinLong@TriValleyCSD.org,MANDALA FARM LLC,718-619-5051,"77 PLYMOUTH RD, STATEN ISLAND, NY 10314"
ADK GROWERS LLC,,"SELECT HORTICULTURE, INC.",,"6 POUND RIDGE ROAD, POUND RIDGE, NY 10576"
NATURAL LANDWORKS,,BIRD SONG FARM,,"35796 ST HWY 10, HAMDEN, NY 13782"
SAF NY REALTY CO LLC,tips@cnn.com,NORTHVIEW GREENHOUSES LLC,585-404-8795,"10131 RUNYON RD, DANSVILLE, NY 14437"
