THE FARM AT MILLERS CROSSING - SELL,518-851-2331,"170 ROUTE 217, HUDSON, NY 12534"
OLD WESTBURY GDNS INC,516-333-0048,"71 OLD WESTBURY ROAD BOX 430, OLD WESTBURY, NY 11568"
RUDY SHETLER,,"1941 STATE ROUTE 26, ORISKANY FALLS, NY 13425"
SIMMONS FARM,315-767-0240,"10188 ST RT 12, COPENHAGEN, NY 13626"
CASSIM FARMS - HATS N THINGS,315-539-2951,"3581 YOST ROAD, WATERLOO, NY 13165"
STONEY ACRES FARM,607-622-5469,"7499 STATE ROUTE 415, BATH, NY 14810"
BAMBI BOYCE,845-496-1909,"255 WOODCOCK MTN RD, SALISBURY MILLS, NY 12577"
MILLERTON NURSERY & GARDEN SHOP INC,518-789-3771,"5600 ROUTE 22, MILLERTON, NY 12546"
GOOSEBERRY FARM,518-235-0632,"48 WETSEL ROAD, TROY, NY 12182"
RICHARD LIPSKY,315-690-6458,"4784 STATE ROUTE 80, TULLY, NY 13159"
PARK LANE DAYLILIES,716-392-1233,"5991 PARK LANE, OLCOTT, NY 14126"
MIDWAY GARDEN CENTER LLC,716-386-5113,"4876 ROUTE 430, DEWITTVILLE, NY 14728"
SCHICHTELS NURSERY INC,716-592-9383," PETERS ROAD, SPRINGVILLE, NY 14141"
ONE NATURE LLC,845-440-1677,"79 FARMSTEAD LANE, WAPPINGERS FALLS, NY 12590"
DISTINGUISHED FARMS LLC,315-254-7132,"4263 ABBEY ROAD, SYRACUSE, NY 13215"
"HODGSON FARMS, LLC",845-629-6762,"3345 RIVER ROAD, DOWNSVILLE, NY 13755"
R&R GREENHOUSE,,"386 AUSTIN RIDGE ROAD, NORWOOD, NY 13668"
NORTH FORK NATIVE PLANTS INC,631-298-6571,"345 SOUND AVENUE, MATTITUCK, NY 11952"
SCHUYLER FARMS,518-695-5308,"1124 ROUTE 29, SCHUYLERVILLE, NY 12871"
BELLS CHRISTMAS TREES LLC,845-532-1886,"647 METTACAHONTS ROAD, ACCORD, NY 12404"
SILVERLEAF GRNHSES INC,914-4750141,"2736 STATE ROUTE 208, WALDEN, NY 12586"
FUN ACRES HERB FARM,315-794-8072,"209 PARK HILL RD, ERIN, NY 14838"
RIVER RUN TREE FARMS,914-669-9453,"329 JUNCTION RD, HOWES CAVE, NY 12092"
SCHWEIZER CONRAD DR NRS,718-351-0917,"2051 RICHMOND RD, STATEN ISLAND, NY 10306"
SAUDERS GREENHOUSE,585-554-4553,"3986 FERGUSON CORNER RD, RUSHVILLE, NY 14544"
TOWN & COUNTRY ENTERPRISES INC,585-872-5073,"1367 ALLEN ROAD, PENFIELD, NY 14526"
ACADIAN FARM,518-993-3967,"259 TILLBORO ROAD, ST JOHNSVILLE, NY 13452"
MOELIUS FARMS,631-745-4853,"1928 NYS ROUTE 12, BINGHAMTON, NY 13901"
SARATOGA SOD FARM INC,518-664-5038,"647 STILLWATER BRIDGE ROAD, SCHAGHTICOKE, NY 12154"
MAHONEY STEPHEN INC,631-324-6574,"162 LONG LANE, EAST HAMPTON, NY 11937"
MOORE CHRISTMAS TREE FARM,607-533-7394,"575 AUBURN ROAD ROUTE 34, GROTON, NY 13073"
FULLY ROOTED INCORPORATED,716-866-2127,"89 ELM STREET, TONAWANDA, NY 14150"
GOLBEN FARMS,845-651-1954,"142 SOUTH MAIN STREET, FLORIDA, NY 10921"
LAKESIDE SOD SPLY CO IN,716-741-2877," LAURIDSEN FARM-MCNEELEY ROAD, CLARENCE CENTER, NY 14032"
SCHICHTELS NURSERY INC,,"9987 RT 39, SPRINGVILLE, NY 14141"
MAPLE RUN FARM,607-535-2132,"4341 RT 14A, ROCK STREAM, NY 14878"
WARNER NURSERY LLC,631-727-1336,"2674 SOUND AVENUE, CALVERTON, NY 11933"
BRALEY FARM,518-392-1849,"1280 STATE ROUTE 203, CHATHAM, NY 12037"
JC & PC CORP DBA CERES FARM,516-974-8630,"371 SMITH RIDGE ROAD, SOUTH SALEM, NY 10590"
SKY-HIGH TURF FARM,315-687-6510,"583 PECK ROAD, KIRKVILLE, NY 13082"
WOODSIDE NURSERY INC,631-758-1491,"134 EAST WOODSIDE AVENUE, PATCHOGUE, NY 11772"
GAJESKI PRODUCE,516-819-7099,"1997 MAIN RD, LAUREL, NY 11948"
BAYPORT FLOWER HOUSES,631-472-0014,"940 MONTAUK HIGHWAY, BAYPORT, NY 11705"
BONNIE PLANTS LLC,334-467-3313,"95 ORVILLE DRIVE, BOHEMIA, NY 11716"
HOOVER HOWARD,315-536-3192,"2849 SWARTHOUT ROAD, PENN YAN, NY 14527"
BUD'S FLORIST & GREENHOUSE LLC,518-732-7563,"1614 ROUTE 9, CASTLETON ON HUDSON, NY 12033"
CRIMSON VALLEY NURSERY,518-650-5207,"103 FLAT BUSH ROAD, WEST COXSACKIE, NY 12192"
ACOCELLA LANDSCAPINGLTD,914-725-2272,"659 WILMOT ROAD, SCARSDALE, NY 10583"
KELLY WHOLESALE NURSERY,315-548-2151," EAGLE STREET, PHELPS, NY 14532"
JUDY'S FALLSBURG GARDEN/I ZAKARIN & SONS INC,845-434-4430,"5296 ROUTE 42, SOUTH FALLSBURG, NY 12779"
DANIEL AND MARY KING,518-568-5972,"220 BUSH ROAD, FORT PLAIN, NY 13339"
TROYERS GREENHOUSE,716-782-4887,"1669 WEEKS ROAD, PANAMA, NY 14767"
PAPER POTTED PLANTS,631-327-3259,"361 DARE ROAD, SELDEN, NY 11784"
VALLEY FARM MARKET,585-554-3455,"441 STATE ROUTE 245, RUSHVILLE, NY 14544"
STEVEN DUBNER LANDSCAPING,516-779-3861,"0 WEST SOUTH STREET, MANORVILLE, NY 11949"
USHER FARM,518-359-7473,"102 UNDERWOOD ROAD, TUPPER LAKE, NY 12986"
BATAVIA TURF LLC,585-548-2552,"6465 TRANSIT ROAD, ELBA, NY 14058"
WATERTOWN GARDEN CENTER & LANDSCAPE SUPPLY INC,315-921-5253,"17940 US RT 11, WATERTOWN, NY 13601"
SHIRK NATHANIEL & ARLENE,607-243-7399,"1864 ROUTE 230, DUNDEE, NY 14837"
MENDON ACRES,,"4287 CLOVER STREET, HONEOYE FALLS, NY 14472"
C. CHRIST FARM,585-507-7900,"2241 PETERSMITH ROAD, KENT, NY 14477"
BLUE HERON FARM,607-582-6336,"1641 SHAW ROAD, LODI, NY 14860"
SHALEBROOK LANDSCAPING INC.,607-280-6171,"109 BUNDY RD., ITHACA, NY 14850"
CHATHAM HARDWARE INC,518-392-3441,"1 HOFFMAN ST, CHATHAM, NY 12037"
TRI VALLEY CENTRAL SCHOOL,845-985-2296,"34 MOORE HILL ROAD, GRAHAMSVILLE, NY 12740"
DURGIN FAMILY FARM LLC,585-359-0951,"1175 MARTIN ROAD, WEST HENRIETTA, NY 14586"
FOREVERGREEN FARMSRUS INC,607-227-3500,"368 TIONA RD, NEWARK VALLEY, NY 13811"
CHANGING SEASONS,607-293-6184,"3762 STATE HIGHWAY 205N, HARTWICK, NY 13348"
COLONIAL ACRES NURSERY,518-456-5348,"2552 WESTERN AVENUE, ALTAMONT, NY 12009"
LANS FLOWER FARM INC,315-688-8584,"4913 NYS ROUTE 31, CLAY, NY 13041"
SWEET HARVEST FARMS,518-596-8697,"911 BEADLE HILL ROAD, VALLEY FALLS, NY 12185"
NORTH WINDS LAVENDER FARM,845-216-8722,"253 BUNDY HILL ROAD, HOLMES, NY 12531"
FLOWER HILL FARM,315-525-1559,"11785 STATE ROUTE 12, BOONVILLE, NY 13309"
PAINTED DAISY THE,607-773-4838,"1 GEE STREET, BINGHAMTON, NY 13903"
SAF NY REALTY CO LLC,518-658-2729,"16 SATTERLEE HOLLOW ROAD, BERLIN, NY 12022"
ADK GROWERS LLC,315-328-4482,"304 WILSON ROAD, SAINT REGIS FALLS, NY 12980"
NATURAL LANDWORKS,716-537-2927,"12022 HUMPHRIES ROAD, HOLLAND, NY 14080"
STANFARM,585-313-3070,"824 JENKINS ROAD, CHURCHVILLE, NY 14428"
MANDALA FARM LLC,718-619-5051,"77 PLYMOUTH RD, STATEN ISLAND, NY 10314"
"SELECT HORTICULTURE, INC.",,"6 POUND RIDGE ROAD, POUND RIDGE, NY 10576"
BIRD SONG FARM,,"35796 ST HWY 10, HAMDEN, NY 13782"
NORTHVIEW GREENHOUSES LLC,585-404-8795,"10131 RUNYON RD, DANSVILLE, NY 14437"
COLOR BY NATURE,716-537-3734,"10179 WARNER GULF ROAD, HOLLAND, NY 14080"
ALAN FRANKES NURSERY,315-926-5128,"4169 HALL CENTER RD/441 FARM, WALWORTH, NY 14568"
BUTTENSCHON TREE FARM,315-865-4849,"9663 LUKE ROAD, MARCY, NY 13403"
KURT WEISS GREENHOUSES INC,631-878-2500," PO BOX 641, CENTER MORICHES, NY 11934"
BLOOMS FLOWER FARM,315-673-2092,"3243 FOX ROAD, SYRACUSE, NY 13215"
BARBATO NURSERY CORPORATION,631-285-6767," SOUND AVE / WILDWOOD PARK, CALVERTON, NY 11933"
AMY'S GARDENSTEAD,315-345-4659,"9240 SHUBA ROAD, FULTON, NY 13069"
GOOD EARTH GREENHOUSE,585-500-5744,"877 LARUE ROAD, CLIFTON SPRINGS, NY 14432"
ALMETERS TREE FARM,585-652-0798,"2764 DUTCH HOLLOW ROAD, STRYKERSVILLE, NY 14145"
BROCCOLO GARDEN CENTER,585-424-4476,"2755 PENFIELD ROAD, FAIRPORT, NY 14450"
HERRICKS LANE FARM LLC,631-722-2293,"81 HERRICKS LANE, RIVERHEAD, NY 11901"
LEPANTO FLORIST LTD,212-929-4226,"110 WEST 17TH ST, NEW YORK, NY 10011"
SCHICHTELS NURSERY INC,716-592-9383,"11410 ROUTE 39, EAST CONCORD, NY 14055"
LONGWOOD FRMS & NUR INC,631-757-4837,"149 LONGWOOD ROAD, MIDDLE ISLAND, NY 11953"
HENRY KENNETH A&SONSINC,716-649-1138,"6951 GOWANDA STATE ROAD, HAMBURG, NY 14075"
KABZAS VEGETABLE FARM,716-649-8893,"3587 PLEASANT AVENUE, HAMBURG, NY 14075"
GREENLAND LANDSCAPE INC,631-368-7182," GREENLAND LNDCSP 292 TOWNLINE, COMMACK, NY 11725"
TRACY BS MARKET INC,585-867-0360,"8041 EAST MAIN STREET, LE ROY, NY 14482"
AMBROSE BLACK WALNUT TREES,518-563-7942,"16 A LOZIER PLACE, PLATTSBURGH, NY 12901"
JANS GREENHOUSE,518-282-0057,"13 KRALL ROAD, HAMPTON, NY 12837"
ADAMS MARK GREENHOUSES INC,845-471-8655,"759 DUTCHESS TURNPIKE, POUGHKEEPSIE, NY 12603"
MAWS FARM,315-985-0088,"7342 MAIN ST, NEWPORT, NY 13416"
WILMA YODER,,"6335 COUNTY HWY 18, WEST WINFIELD, NY 13491"
FEURA FARM,518-966-5797," SR32 & CR406-STANTONS OLD HMST, GREENVILLE, NY 12083"
GARDENS BY TRISTA INC,607-588-6762,"153 POLAN HILL ROAD, GILBOA, NY 12076"
BRADT TREE FARMS,716-754-4425,"470 PLETCHER RD, LEWISTON, NY 14092"
ERIC JOHNSON & SONS,518-784-3907,"403 MAPLE LANE, VALATIE, NY 12184"
FRUIT CONNECTIONS LLC,585-364-8879,"977 ROUTES 5 & 20, GENEVA, NY 14456"
DELRES GREENHOUSE & GARDEN CENTER,585-343-1038,"4062 WEST MAIN ST, BATAVIA, NY 14020"
DEES NURSERY INC,516-678-3535,"69 ATLANTIC AVENUE, OCEANSIDE, NY 11572"
ABNER ZOOK,518-603-1414,"311 R. DILLENBECK ROAD, FORT PLAIN, NY 13339"
S AND R TREE FARM LLC,585-362-7927,"5823 SOUTH LIVONIA ROAD, CONESUS, NY 14435"
RAGING WINDS FARM,585-335-2963,"7906 KYSORVILLE BYERSVILLE RD, DANSVILLE, NY 14437"
HIDDEN SPRINGS TREE FARM LLC - GROW,607-525-6456," BINES HILL ROAD, ANDOVER, NY 14806"
RADLIFF HOLLOW FARM,518-673-4877,"210 WEST LYKERS ROAD, CANAJOHARIE, NY 13317"
Z'S NUTTY RIDGE LLC,607-310-1318,"5296 TOWN LINE ROAD, MC GRAW, NY 13101"
THE SUNSHINE SHOP,631-472-0531,"482 SYLVAN AVENUE, BAYPORT, NY 11705"
MANDEVILLE FARM,607-589-4399,"894 ITHACA RD, SPENCER, NY 14883"
SKY-HIGH TURF FARM,315-687-6510," ROUTE 31, BRIDGEPORT, NY 13030"
SENECA GREENHOUSE,716-677-0681,"6581 SENECA STREET, ELMA, NY 14059"
BERKSHIRE NURSERY AND SUPPLY CORP,845-878-9383,"2714 ROUTE 22, PATTERSON, NY 12563"
SHADY MAPLE GREENHOUSE AND PRODUCE,518-993-4589,"563 VAN DEWERKER ROAD, CHERRY VALLEY, NY 13320"
V K ORCHIDS LLC,845-278-7111," ROUTE 22-1460, BREWSTER, NY 10509"
FOREVERGREENS,716-560-8004,"11398 BOLTON ROAD, SPRINGVILLE, NY 14141"
JOSEPH P MOLL AND SONS PLANT COMPANY LLC,315-576-6952,"6973 TUCKAHOE RD, WILLIAMSON, NY 14589"
LAWRENCE BRUBAKER,315-536-0953,"1591 GUYANOGA ROAD, PENN YAN, NY 14527"
MARCELLUS NURSERY INC,315-488-2632," HOYT ROAD, MARCELLUS, NY 13108"
D'ARTAGNAN FARMS FOUNDATION,973-344-0565,"221 CRAIGVILLE ROAD, GOSHEN, NY 10924"
WOOD CREEK HERB FARM,315-225-2906,"3995 WOOD CREEK ROAD, ROME, NY 13440"
SCHENECTADY CO SWCD FARM PROJECT,518-399-6980,"180 PTL ARTHUR CHAIRES LANE, SCHENECTADY, NY 12309"
MANUEL FERNANDEZ SR.,607-746-6077,"3 ROBINSON ROAD, HAMDEN, NY 13782"
SCHADER FARMS,315-440-7935,"82 GRANT ROAD, WILLIAMSTOWN, NY 13493"
MOHONK MOUNTAIN HOUSE,845-256-2152,"1000 MOUNTAIN REST ROAD, NEW PALTZ, NY 12561"
WINDY ACRES GREENHOUSE,,"66 BROOKLYN RD, NORTH LAWRENCE, NY 12967"
HOLLOW ORCHIDS & HERBS,607-277-3380,"71 GERMAN CROSSROAD, ITHACA, NY 14850"
DELEA LEASING CORP  DBA DELEA SOD FARMS,631-368-8022,"3621 SOUND AVENUE, RIVERHEAD, NY 11901"
PARADISE GARDENS,315-536-5843,"1682 BAKER RD, PENN YAN, NY 14527"
"DAVID A. ERTEL, INC. DBA RUDOLPH GALLEY & SONS",716-822-9298,"2722 CLINTON STREET, BUFFALO, NY 14224"
BOWMAN ORCHARDS,518-371-2042,"147 SUGAR HILLS ROAD, REXFORD, NY 12148"
COUNTRY GARDENS NURSERY,631-325-1522,"220 OLD COUNTRY ROAD, EASTPORT, NY 11941"
EAST COAST ORCHIDS,845-692-7227,"2488 ROUTE 17 K, MONTGOMERY, NY 12549"
CAYUGA LANDSCAPE CO INC,607-257-3000,"2712 NORTH TRIPHAMMER ROAD, ITHACA, NY 14850"
"PANTHEON COLLECTIVE INDUSTRIES, LLC",415-879-0794,"2035 WEST ROAD, BOONVILLE, NY 13309"
WHITEFIELD FARM AND FOREST,845-554-8313,"4 OLD COUNTRY PLACE, HOPEWELL JUNCTION, NY 12533"
SORBELLO FRANK L,845-691-7828,"139 MARTIN AVENUE, HIGHLAND, NY 125282739"
W&J AWALD FARMS INC,716-337-2608,"2258 SHIRLEY RD, NORTH COLLINS, NY 14111"
FAMILY FRIENDS AND FLOWERS LTD,631-928-2050,"360 OLD TOWN ROAD, EAST SETAUKET, NY 11733"
WARRENS NURSERY INC,,"5506 SOUND AVE, JAMESPORT, NY 11947"
FELTHOUSENS INC,518-374-4414,"1537 VAN ANTWERP ROAD, SCHENECTADY, NY 12309"
BRUMBAUGH ROSALIE,716-445-5116,"8599 SOUTH MAIN STREET, EDEN, NY 14057"
THERA FARMS LLC,631-478-5229,"1725 BRENTWOOD RD, BRENTWOOD, NY 11717"
S & SO PRODUCE FARMS LLC,347-682-6962,"63 MOUNT EVE ROAD, GOSHEN, NY 10924"
KRISTAS GREENHOUSES,315-676-7142,"216 POTTER ROAD, WEST MONROE, NY 13167"
DELEA LEASING CORP DBA DELEA SOD FARMS,631-368-8022," SOUND AVE @ ZILNICKI FARM, RIVERHEAD, NY 11901"
TOPIARY GARDENS,315-673-1680,"1840 STUMP ROAD, MARCELLUS, NY 13108"
BESSBORO BUILDERS INC,518-962-4500,"252 NYS RT 22, WESTPORT, NY 12993"
OAKWOOD GREENHOUSE,315-252-7828,"5597 OAKWOOD ROAD, AUBURN, NY 13021"
LANDMARK FARMS DBA,518-587-9586,"4716 STATE HIGHWAY 30, AMSTERDAM, NY 12010"
SOMMER NURSERIES LTD,631-878-0896,"232 OLD COUNTRY ROAD, EASTPORT, NY 11941"
GRACE GARDENS,315-536-2556,"1064 ANGUS ROAD, PENN YAN, NY 14527"
BRIGIOTTAS FARMLAND PRODUCE & GARDEN CENTER INC,716-484-1121,"375 E LIVINGSTON AVE, JAMESTOWN, NY 14701"
AFTERGLOW PEAK LLC,212-206-7820,"96 BALLYMONT DRIVE, MILLERTON, NY 12546"
ORCHARD VIEW FARM,585-205-6424,"2112 TOWNLINE RD, WATERPORT, NY 14571"
