Company Name,Emails
ACOCELLA LANDSCAPINGLTD,
JC & PC CORP DBA CERES FARM,
KELLY WHOLESALE NURSERY,
JUDY'S FALLSBURG GARDEN/I ZAKARIN & SONS INC,
PAPER POTTED PLANTS,
MAPLE RUN FARM,536-3028jerehorning@hotmail.com
DANIEL AND MARY KING,
BUD'S FLORIST & GREENHOUSE LLC,
GOLBEN FARMS,digitalcommons@cedarville.edu
TROYERS GREENHOUSE,
CRIMSON VALLEY NURSERY,
WATERTOWN GARDEN CENTER & LANDSCAPE SUPPLY INC,
MENDON ACRES,
SHIRK NATHANIEL & ARLENE,
BLUE HERON FARM,
C. CHRIST FARM,
BATAVIA TURF LLC,
USHER FARM,
DURGIN FAMILY FARM LLC,
FOREVERGREEN FARMSRUS INC,
COLONIAL ACRES NURSERY,
CHANGING SEASONS,
SHALEBROOK LANDSCAPING INC.,info@cayugalandscape.com plants@cayugalandscape.com
ADK GROWERS LLC,
SAF NY REALTY CO LLC,srl@spruceridgelandscape.com madison@cornell.edu
FLOWER HILL FARM,Usflowerhillfarmny@gmail.com
TRI VALLEY CENTRAL SCHOOL,esbusnotes@trivalleycsd.org FrankSnyder@TriValleyCSD.org RobertWhitaker@TriValleyCSD.org attendance@trivalleycsd.org AmandaEberly@TriValleyCSD.org AaronButler@TriValleyCSD.org ErinLong@TriValleyCSD.org JenniferWilliams@TriValleyCSD.org DanielleCornish@TriValleyCSD.org ssbusnotes@trivalleycsd.org RichBebenroth@TriValleyCSD.org JamesFantini@TriValleyCSD.org
CHATHAM HARDWARE INC,
STANFARM,
"SELECT HORTICULTURE, INC.",
VALLEY FARM MARKET,Borangefan@aol.com jberriansac@verio.net ronnareed@comcast.net genquestlady@aol.com tikestrea@aol.com pkmeyer@usa.net suelay@postoffice.swbell.net lyni100@mediaone.net mdillon@cannet.com jclutt@neark.net fineart@canfield-santafe.com cschwager@interbaun.com dbell@badsector.com lawson913@yahoo.com jingle@burgoyne.com bill@measurements.com hfarmer@ccpl.carr.org gleek@ptd.net rebel1@telepath.com araeris@yahoo.com JW21250@aol.com mbover@nehp.ne dwahle@pacbell.net mallard@columbia-center.org SP102741@aol.com marcinelohman@comcast.net clnisltslr@msn.com LUTTRELL-L@rootsweb.com DEBORAHC21@aol.com c_britton@yahoo.com bkthompson@bacavalley.com TVset80@aol.com john_c_brock@msn.com 4xj@comcast.net cepheplace@hotmail.com lwl@calhoun.cc.al.us pbernhardt@blomand.net jlroggy@essex1.com ringroum@cox.net birds27@msn.com littrells@webtv.net dinkime@hotmail.com moka_joka@yahoo.com edluttrell@cascadeaccess.com dluttrull@charter.net
NORTH WINDS LAVENDER FARM,ellen@northwindslavenderfarm.com
NATURAL LANDWORKS,GoGreen@LawnandGardenMarketing.org nlwjason@gmail.com
COLOR BY NATURE,
BUTTENSCHON TREE FARM,
KURT WEISS GREENHOUSES INC,
PAINTED DAISY THE,
BLOOMS FLOWER FARM,
GOOD EARTH GREENHOUSE,
NORTHVIEW GREENHOUSES LLC,
BARBATO NURSERY CORPORATION,pmcontact@nattygarden.com
AMY'S GARDENSTEAD,orders@amysflowerssparks.com
MANDALA FARM LLC,grapevinegarden@gmail.com
BROCCOLO GARDEN CENTER,
BIRD SONG FARM,birdsongfarmteam@gmail.com purecatskills@nycwatershed.org
ALMETERS TREE FARM,redbarnxmasfarm@aol.com dalmeter12@aol.com
ALAN FRANKES NURSERY,FrankeFarmsllc@gmail.com
HERRICKS LANE FARM LLC,
HENRY KENNETH A&SONSINC,
LEPANTO FLORIST LTD,
TRACY BS MARKET INC,
AMBROSE BLACK WALNUT TREES,
KABZAS VEGETABLE FARM,
ADAMS MARK GREENHOUSES INC,
MAWS FARM,
FEURA FARM,
SCHICHTELS NURSERY INC,14141info@schichtels.com
JANS GREENHOUSE,
LONGWOOD FRMS & NUR INC,volunteer@longwoodgardens.org schoolandyouth@longwoodgardens.org
GREENLAND LANDSCAPE INC,
DELRES GREENHOUSE & GARDEN CENTER,
ABNER ZOOK,
DEES NURSERY INC,
S AND R TREE FARM LLC,
FRUIT CONNECTIONS LLC,
RADLIFF HOLLOW FARM,
MANDEVILLE FARM,
HIDDEN SPRINGS TREE FARM LLC - GROW,auraly.hstf@gmail.com
Z'S NUTTY RIDGE LLC,
ERIC JOHNSON & SONS,
THE SUNSHINE SHOP,christine@bayportflower.com karl@bayportflower.com
V K ORCHIDS LLC,
SENECA GREENHOUSE,pmsenecagreenhouse@gmail.com
RAGING WINDS FARM,administrator@gvpennysaver.com
FOREVERGREENS,
SCHENECTADY CO SWCD FARM PROJECT,
MARCELLUS NURSERY INC,
SHADY MAPLE GREENHOUSE AND PRODUCE,
SCHADER FARMS,
WOOD CREEK HERB FARM,info@woodscreeknursery.com
HOLLOW ORCHIDS & HERBS,
BERKSHIRE NURSERY AND SUPPLY CORP,
MANUEL FERNANDEZ SR.,
WINDY ACRES GREENHOUSE,
"DAVID A. ERTEL, INC. DBA RUDOLPH GALLEY & SONS",
JOSEPH P MOLL AND SONS PLANT COMPANY LLC,
LAWRENCE BRUBAKER,
COUNTRY GARDENS NURSERY,
DELEA LEASING CORP  DBA DELEA SOD FARMS,customerservice@deleasod.com
PARADISE GARDENS,536-3028jerehorning@hotmail.com
SORBELLO FRANK L,
"PANTHEON COLLECTIVE INDUSTRIES, LLC",Usflowerhillfarmny@gmail.com
W&J AWALD FARMS INC,
CAYUGA LANDSCAPE CO INC,
FAMILY FRIENDS AND FLOWERS LTD,
MOHONK MOUNTAIN HOUSE,
THERA FARMS LLC,
S & SO PRODUCE FARMS LLC,
KRISTAS GREENHOUSES,
WARRENS NURSERY INC,sales@warrensnursery.com
BOWMAN ORCHARDS,
BESSBORO BUILDERS INC,Bessborobuilders@yahoo.com
EAST COAST ORCHIDS,
LANDMARK FARMS DBA,info@fultonmontgomeryny.org
OAKWOOD GREENHOUSE,
FELTHOUSENS INC,
WHITEFIELD FARM AND FOREST,chris@sunsparklersedums.com
BRIGIOTTAS FARMLAND PRODUCE & GARDEN CENTER INC,info@brigiottas.com
GRACE GARDENS,tom@gracegardens.com
DELEA LEASING CORP DBA DELEA SOD FARMS,
SOMMER NURSERIES LTD,
BLACK RIVER GREENERY,
ORCHARD VIEW FARM,
TOPIARY GARDENS,
AFTERGLOW PEAK LLC,
DIZZY LIZZIE'S FARM,
SONOFABEE FARM,
CANDY CANE FARM LLC,saratoga@cornell.edu
TUMBERS LANDSCAPING LLC,
VALHALLA GARDEN CENTER INC,
KINGS GREENHOUSE,
SHADE TREES NURSERY INC,info@shadetreesnursery.com
SCHICHTELS NURSERY INC,14141info@schichtels.com
STEPHEN J. WALKER,cesar.slm@correo.nucleares.unam.mx Francisco.Nettel@roma1.infn.it celano@imec.be richard.may@noaa.gov info@atomscience.org bravetti@correo.nucleares.unam.mx u.celano@gmail.com patti.powell@dcnr.alabama.gov phzm@ars.usda.gov
MAITRI FARM LLC,info@maitriny.com
"NYSARC, INC. CATTARAUGUS - NIAGARA COUNTIES CHAPTER",info@intandem.org
RED OAK NURSERIES INC,
MARCUS FARMS INC,NYAARP@aarp.org
GRISAMORE FARMS LLC,info@grisamorefarms.com
ANGELS GROUND COVERS INC,
ROSEDALE NURSERIES INC,
SEEBOLD FARM,webmaster@cobleskill.edu
RECKNER GREENHOUSES & FARMS LLC,
EARLYBIRD FARM,Earlybird806@gmail.com
COLORFUL GARDENS WHOLESALE LLC,colorfulgardens@aol.com
TROYS LANDSCAPE SUPPLY CO INC,
RUDOLPH YODER,
CHUCKS GREENHOUSE,Info@manscountrygardens.com bradleyfarms@aol.com upstatehydroponics@gmail.com bbakercrop@stny.rr.com info@chamberlainacres.com haskinsgardens@gmail.com support@sunsethydro.com chemung@cornell.edu
SHORTZ LANDSCAPE ASSOC INC,
GABRIELSEN FARMS LLC,
JEFF AND CHRISSY BUHRMASTER,
BLACK HORSE FARMS INC,BlackHorseFarms3@gmail.com
DAVID & ANNETTA FOX,dacf@maine.gov
AC LAWNSCAPE SUPPLY LLC,filippo.romeo@unikore.it rosalba.potenzano@unipa.it A@e3F.Gjg sofiaalfano@yahoo.it
COOK AND GARDENER,
GRETNA GARDENS,dacf@maine.gov
VAN BOURGONDIEN C J INC,
FOUR WINDS FARM,Inquiriessecondwindcsa@gmail.com
"FOXCHESTER, LLC",claims@lavocatsnursery.com info@lavocatsnursery.com
FARMERS WIFE CREATIONS,
WILLIAM A SCHMID,
MOTHER'S MUMS,
SHANAHAN TREE FARM LLC,hello@tonkadale.com
LOG CABIN PRODUCE,
LITTLE WAGON ROADSIDE FARM STAND,
SCARBOROUGH FIELDS & FLOWERS,sales@scarboroughfields.com
WAGENHALS R&SON NURSERY,
BONNIE PLANTS LLC,inquiriesmedia@bonnieplants.com
HEWITTS GARDEN CENTER INC,
HEMP FARMS LLC,
MANDY SPRING FARM NURSERY INC,
BUDZIES NURSERY - DIVISION OF BUDZIAK ENTERPRISES,Stateslittleannsflowers@gmail.com
BURKHOLDER ELI & RACHEL,claims@lavocatsnursery.com info@lavocatsnursery.com
PERCH RIVER GARDENS,
"HERKIMER CO. CHAPTER, NYSARC, INC.",info@archerkimer.org
NORTH SERVICE RD NURSERY,
BAUMANS FARM MARKET LLC,
BORELLA WILLIAM,borellanursery@gmail.com 265-2768borellanursery@gmail.com
TWIN PINES GREENHOUSES,info@orleanscountytourism.com
MICHAEL & SONS NURSERIES INC,
ELHANNON NURSERY INC,wholesale@elhannon.com
PARADISE GARDENS,
RAY MAR TREE FARM,
IVAN BURKHOLDER,
BOBS TREES,
RIVERMEDE FARM,
PIGGY GREENS MICROGREENS LLC,wegrowmicrogreens@gmail.com
BILL & GERRYS FARM,
TWIN BROOKS GARDEN CTR,
LYNDAKER FARMS LLC,
KOLBER'S FARM,
BISON NURSERY WHOLESALE INC,
LUCZAKS EVERGREEN FARMS,
BLOOMS BY BOGNER,
FAMILY TRADITIONS TREE FARM LLC,
J HURTGAM FARMS,
FRANCES FARMS LLC,
PRIMEVAL FOREST LLC,
KOPPERT CRESS USA LLC,info@koppertcress.com
PECONIC RIVER HERB FARM,
DAVID D TROYER,
BEYOND YOUR GARDEN CORP,
JASPER MEADOWS FARM,
PRAYS MARKET GROWER,
FEELING THORNY TROPICALS,theresa@northtonawandaflorist.com
JONATHAN ZEISET,
FOREVERGREEN FARMSRUS INC,
GLEN COTTAGE FARMS,
GEORGES MARKET & NURSERY LLC,
NATIVE SUN FLOWERS,
GARDENLAND INC,
EDLER ACRES,
HARRINGTONS,
LITTLE BY LITTLE NURSERY CORP DBA WILD GARDENS NURSERY,
ANNE'S/ KOEHN GIFTS,
TAYLOR GARDENS & ARTISTRY LLC,
UNDER THE TREE,
HUNTS TREE FARM,
ROOT AND ROOST FARM,
SCHUYLERS GREENHOUSE,
KC'S PRODUCE,
HERMANCE NURSERIES,
PEACHEY PRODUCE,seneca@cornell.edu
TANNER HILL HERB FARM,schoolprograms@farmersmuseum.org
ANTHONY DEMARCO & SONS INC,
DOGWOOD ACRES GREENHOUSES,
ONE NATURE LLC,
NEW AMSTERDAM NURSERY INC,
WEBER MIKE GREENHOUSES INC,
OLIVERA'S GARDEN,hello@tonkadale.com
LIGHTHOUSE GARDENS,toddlighthouse@gmail.com
KIMBERLYS GREENHOUSE INC,
DELALIO SOD FARMS LLC,
CHESTNUT RIDGE NURSERY INC,alyss1217@gmail.com
SUNSHINE MEADOWS,
IMBRIANO & SONS GARDEN SUPPLIES,
TURNBULL NURSERY INC,
STAR ROUTE FARM,
BRONNER FARM LLC,bernerfarmsltd@gmail.com
BRIAR BURR GARDENS,
SEAN DEMBROSKY,
SWEET PEA FM PERENNIALS,info@sweetpeafarmperennials.com
SONSHINE VALLEY FARMS,
BLOSSOMS N BLOOMS ETC,
SENSENIG JONATHAN,
DRAUDT RONALD & SONS,
UNDER THE TREE,info@faddegons.com
"PITTSFORD TREE AND LANDSCAPE, INC DBA VILLAGE GARDEN STORE LTD",
SPOTH DONALD FARM,support@spothfarms.com
RSK FARM,
REDHEAD RANCH SOAPS & SUNDRIES,
FUNNY FARMS FAMOUS,
HALTON HAY,scotts@scottsnursery.nb.ca
EDWARD FOX,
TOWER LOT NURSERY INC,hicksinfo@hicksnurseries.com
KATONAH NURSERY INC,
LEONS FARM MARKET,bernerfarmsltd@gmail.com
STYERS PEONIES LLC,
SANG LEE FARMS INC,
EASTLAND FARMS INC,
HILLS CHRISTMAS TREE FARM,
SCHULTZ GARDEN CENTER,
THE LO FARM LLC,12414info@thelofarm.com
STRAWS,
SEIB FARMS,
ZEHR'S FLOWERS & LANDSCAPING,
OLE' THYME FARM,
NEW LEAF A,marketing@anewleaf.org
MILLERS FARM MARKET LLC,klamendola@southerntierwest.org
VITALES FARM MARKET,A@eIE.lIn
WILLIS' PRODUCE,
EATON FARMS,
LAPLANTS LAWN&PROP MTCE,info@belgian-nursery.com
KENT COUNTRYSIDE NURSERY INC,
HEWITTS GARDEN CENTER INC,
TECHMERS NURSERY,
GARDENWORKS FARM LLC,
JOSEPHS GARDEN & GREENHOUSE,
JEWITT HILL GREENHOUSE,w@xP.tr
BURKE PLANTS,
JOHN D MADURA FARMS,
STOUGHTON FARM,info@stoughtonfarm.com
CAROLS PLANT SHED,
HUMBLE ROOTS TREE FARM,humbleroots@gorge.net
FORT HUNTER FARMS,
BEDFORD GREENHOUSE INC,733-2269tray@bedfordgreenhouses.com
HELDERLEDGE FARM,
ROMANSKI FARMS LILCO POLE,
EDWARD FELSENTHAL,
DAVENPORT GARDEN CENTER,sweetmeadowsinc@gmail.com
"BRADFORD T. REEVE, SR. AND PAUL REEVE, INC.",
BELLE GROVE FOREST FARM,davidhennenfent@yahoo.com gardencenter@leider.us
POLLIWOGS GARDEN LLC,
JANSEN E P NURSERY LLC,
STEDMAN OLD FRM NUR INC,
BACKPORCH PRODUCE,info@backporchproduce.com
ALBERT H SCHMITT,
JULIANS SCHUYLER GREENHOUSE AND PRODUCE FARMS,jerry@schuylerfarms.com
BOKA FARMS INC,
HARVESTVIEW FARM,harvestview1@aol.com
DECKERS FLATS GREENHOUSE,
TURNPIKE COMPANY LLC,info@beckersfarm.com
ORIENTAL GDN SUPPLY LLC,
TOMS THUMB LLC,
BELLA TERRA FARM,508-2677hello@bellaterraflowers.com
HALLOCK CIDER MILL INC,Hello@NorthForkAuthentic.com
ANNS PURPLE PRODUCE,sheryl@galleas.com
SEABERT FARMS,
WHITMAN NURSERIES INC,whitmannurseries@gmail.com
CARADONNA FARMS,
WHISTLE DOWN FARM LLC,
KINGS COUNTY NURSERIES INC,
MOMS FLOWERS,
MAIER FARMS,
TANDAMITI LLC,
LILLIE ACRES GREENHOUSE,
TWIN POND GRNHS&NURSERY,
KENNETH J LINDSTROM,
LEVI WENGER,wengers@emypeople.net
BRENDAN HATHAWAY,
NICOTRA FARMS INC,Uszerrillogardens@gmail.com
GLASS HOUSE FARMS,info@glasshousefarms.co
MOSES J YODER,
FINAL TOUCH,
MEADOWVIEW LLC,customerinfo@meadowviewtreefarm.com
LEROY GEHMAN,
HIDDEN SPRINGS TREE FARM LLC- GROW,auraly.hstf@gmail.com
OLISH FARMS INC,
AMBERG GRAPEVINES LLC,info@winebusinessanalytics.com
"ZINO NURSERIES AND LANDSCAPING, INC",
CASE FARMS NURSEY LLC,
BISSETT - A SITEONE COMPANY,
STYMUS FARMS LLC,
ERETZ GOSHEN FARMS INC,10924goshengreenfarminfo@gmail.com
NEW YORK HEMP SERVICE LLC,
GOZO NF NURSERIES INC,11236bklynplant@gmail.com LAPIDEbklynplant@gmail.com bklynplant@gmail.com
WEISS NURSERY & LANDSCAPING LLC,
ROOTS TO BLOOM,info@urbanroots.org
POUND RIDGE NURSERY AND GARDEN CENTER INC,
TOP NOTCH GARDEN CENTER AT NEWPORT MARKETPLACE,
DELEA LEASING CORP DBA DELEA SOD FARMS,
ANNUTTOS FARM STAND LLC,
MOUNTAIN LAKE SERVICES,gini@woyphoto.com
LIBERTY FARMS,
A&L PRODUCE,
LAKESIDE SOD SPLY CO IN,
SUNNY SIDE GREENHOUSE,
PERENNIAL CHARM NURSERY LLC,
WILLOW CREEK GREENHOUSE,
SPRUCE IT UP TREE FARM,ttfarm279@gmail.com Statesttfarm279@gmail.com
STILL MEADOW NURSERY INC,
HUBINA TREE FARM,
TOMARCHIO'S GREENEHOUSE,
A&W GREENHOUSE AND GARDENS,
VERDERBER LANDSCAPE NURSERY INC.,VERDERBERINFO@GMAIL.COM
NATURE BY DESIGN,
HARVEST MOON,
GOOD EARTH FARMS,GoodEarthNJ@gmail.com items.GoodEarthNJ@gmail.com
STILLMANS GREENHOUSE AND GARDEN CENTER LLC,
SUNFLOWER RIDGE PRODUCE & GREENHOUSE,
HEALING HOMESTEAD,theresa@northtonawandaflorist.com
E&J REWILDING CORP,
PAUL HARTMAN,
KALLECO NURSERY CORP,
MT. VISION GARDEN CENTER INC,
SHAKER CREEK FARM LLC,
TRANKA JOSEPH & SON FLORIST,
ALMA STUZMAN,
LILLIES OF FIELD PERRENIALS & GIFT SHOP,
MCDONOUGHS FARM,
CHESTER FLOWER SHOP INC,
POST ST FARM DBA ROGUE TOMATO FARMS LLC,poststfarm@gmail.com us.poststfarm@gmail.com
ADIRONDACK TREE COVELS TREE FARM & NURSERY,
THE FARM AT  MILLERS CROSSING,
DIANE'S GREENHOUSE,
GREEN HILL FARM,
EMMAS GARDEN GROWERS INC,
BEDFORD NURSERY,
MARCUS FARMS INC,
DAVID S ESH,
"CUTTING GARDEN THE, LLC",
ELEANOR PERRY,
KEIL NORMAN NURSERY,
DELEA LEASING CORP  DBA DELEA SOD FARMS,customerservice@deleasod.com
GOZO NF NURSERIES INC,oldcourtnurseries@btinternet.com
RAINY DAY GREENHOUSE & NURSERY,tricanpkg@shaw.ca b-@d.Ae.Bg
INVINCIBLE SUMMER FARMS,steph@invinciblesummerfarms.com
NORTHLAND GARDENS INC,
SOLON GARDENS,
PEACE OF THE PIE LLC,N@mQ.nn
ASCAPE LANDSCAPE & CONST. CORP,office@ascapelandscape.com
MURCOTT RICHARD,company.comcontact@company.com
SUNSET VIEW PRODUCE FARM,dacf@maine.gov
MCR FARMS,
CHUCK HAFNER FARM,
ECHO ORCHARD LLC,
MARTIN DANIEL & RUTH,
DRAKES GREENHOUSE,srl@spruceridgelandscape.com madison@cornell.edu
ADRIENNE J. PLOSS DBA HICKORY HURST FARM,hickoryhurst@gmail.com
RENAISSANCE FLORAL GALLERY,rfg199m@gmail.com
GRACE'S GREEN THUMB,info@greenthumbsgarden.com
POWERS COUNTRY GARDENS,
SHADOW BROOKE VIEW GREENHOUSE,INFO@SHADOWBROOKFARMLLC.COM
SCHLABACH'S NURSERY,
D&E PRODUCE,
ROCKIN HOPS LLC,
ROSEDALE NURSERIES INC,
WINDY RIDGE ACRES,
R J SCHICKLER NURSERY,
CHOINIERE FARMS & EQUIPMENT,dacf@maine.gov
DUTCHESS COUNTY CCE,dutchess@cornell.edu
HIDDEN SPRINGS TREE FARM LLC,auraly.hstf@gmail.com
HAFF ACRES FARM LLC,chautauqua@cornell.edu kaw249@cornell.edu hafacres@roadrunner.com
ELMERS ACRES,
W&K SPLIT RAIL NURSERY & TREE FARM,
MICHAEL BESHON,
DAVIS NURSERY LLC,
ACOCELLA LANDSCAPINGLTD,mario@marioforgioneltd.com
NOON CONSULTING,
YODERS GREENHOUSE,
RURAL & MIGRANT MINISTRY INC,
ROBINSONS FLORIST & GIFTS,
GREEN FROG CONSULTING LLC,
WEAVER'S FARM MARKET,
